source_id,source_url,hospital_name,provider_type,city,state,country,latitude,longitude,nearest_airport,website,contact_email,contact_phone,accreditations,rating_score,rating_count,rating_source,treatment_id,treatment_name,treatment_category,disease_condition,cost_min_usd,cost_max_usd,cost_currency,cost_source,cost_verified_at,retrieved_at,data_origin
initial_public_v1,https://www.apollohospitals.com/chennai/,Apollo Hospitals Greams Road,HOSPITAL,Chennai,Tamil Nadu,India,13.0620,80.2520,MAA,https://chennai.apollohospitals.com/,,+914428293333,JCI,4.3,3500,Google Maps,cabg,CABG / Bypass Surgery,CARDIOLOGY,Coronary Artery Disease,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.medanta.org/gurugram-hospital/,Medanta - The Medicity,HOSPITAL,Gurugram,Haryana,India,28.4310,77.0500,DEL,https://www.medanta.org/gurugram-hospital/,,+911244141414,JCI,4.4,4100,Google Maps,cabg,CABG / Bypass Surgery,CARDIOLOGY,Coronary Artery Disease,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.medanta.org/gurugram-hospital/,Medanta - The Medicity,HOSPITAL,Gurugram,Haryana,India,28.4310,77.0500,DEL,https://www.medanta.org/gurugram-hospital/,,+911244141414,JCI,4.4,4100,Google Maps,knee-replacement,Total Knee Replacement,ORTHOPEDICS,Osteoarthritis,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.fortishealthcare.com/hospital/fortis-escorts-heart-institute-okhla-delhi,Fortis Escorts Heart Institute,HOSPITAL,New Delhi,Delhi,India,28.5610,77.2790,DEL,https://www.fortishealthcare.com/hospital/fortis-escorts-heart-institute-okhla-delhi,,+911147135000,JCI,4.5,2100,Google Maps,angioplasty,Angioplasty,CARDIOLOGY,Coronary Artery Disease,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket,Max Super Speciality Hospital Saket,HOSPITAL,New Delhi,Delhi,India,28.5270,77.2110,DEL,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket,,+911126515050,NABH,4.3,3100,Google Maps,knee-replacement,Total Knee Replacement,ORTHOPEDICS,Osteoarthritis,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket,Max Super Speciality Hospital Saket,HOSPITAL,New Delhi,Delhi,India,28.5270,77.2110,DEL,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket,,+911126515050,NABH,4.3,3100,Google Maps,hip-replacement,Total Hip Replacement,ORTHOPEDICS,Hip Osteoarthritis,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.kokilabenhospital.com/,Kokilaben Dhirubhai Ambani Hospital,HOSPITAL,Mumbai,Maharashtra,India,19.1240,72.8250,BOM,https://www.kokilabenhospital.com/,,+912230999999,JCI,4.2,4500,Google Maps,chemotherapy,Chemotherapy,ONCOLOGY,Cancer,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://www.kokilabenhospital.com/,Kokilaben Dhirubhai Ambani Hospital,HOSPITAL,Mumbai,Maharashtra,India,19.1240,72.8250,BOM,https://www.kokilabenhospital.com/,,+912230999999,JCI,4.2,4500,Google Maps,radiation-therapy,Radiation Therapy,ONCOLOGY,Cancer,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://tmc.gov.in/,Tata Memorial Hospital,HOSPITAL,Mumbai,Maharashtra,India,19.0040,72.8460,BOM,https://tmc.gov.in/,,+912224177000,,4.6,8900,Google Maps,chemotherapy,Chemotherapy,ONCOLOGY,Cancer,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
initial_public_v1,https://tmc.gov.in/,Tata Memorial Hospital,HOSPITAL,Mumbai,Maharashtra,India,19.0040,72.8460,BOM,https://tmc.gov.in/,,+912224177000,,4.6,8900,Google Maps,radiation-therapy,Radiation Therapy,ONCOLOGY,Cancer,,,,,2026-09-01T00:00:00Z,PUBLIC_RESEARCH
